ID,STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y,Gallons
113,  240,2018-01-05,18.0,180.0,40.0,50.0,60.0,51.0,   18,44.0,0.0,0.0,0.0,0.0,9959.0,63.0,6.0,95.0,    3,7.0,0.0,0.0,0.0,0.0,0.0,564.051
114,  240,2018-01-05,19.0,200.0,50.0,60.0,80.0,58.0,     ,48.0,0.0,0.0,0.0,0.0,9962.0,65.0,6.0,93.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,424.749
115,  240,2018-01-05,20.0,210.0,60.0,60.0,90.0,57.0,     ,43.0,0.0,0.0,0.0,0.0,9970.0,70.0,1.0,90.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,533.001
116,  240,2018-01-05,21.0,210.0,70.0,70.0,100.0,56.0,     ,41.0,0.0,0.0,0.0,0.0,9976.0,69.0,1.0,89.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,345.31
117,  240,2018-01-05,22.0,210.0,70.0,60.0,100.0,58.0,     ,42.0,0.0,0.0,0.0,0.0,9983.0,68.0,7.0,89.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,434.633
118,  240,2018-01-05,23.0,210.0,70.0,70.0,100.0,57.0,     ,40.0,0.0,0.0,0.0,0.0,9991.0,70.0,8.0,89.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,739.249
119,  240,2018-01-05,24.0,220.0,70.0,60.0,100.0,57.0,   36,42.0,0.0,0.0,0.0,0.0,10000.0,70.0,8.0,90.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,472.042
120,  240,2018-01-06,1.0,240.0,50.0,50.0,80.0,61.0,     ,45.0,0.0,0.0,0.0,0.0,10007.0,67.0,8.0,89.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,294.802
121,  240,2018-01-06,2.0,230.0,50.0,40.0,90.0,58.0,     ,32.0,0.0,0.0,0.0,0.0,10011.0,70.0,8.0,83.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,208.489
122,  240,2018-01-06,3.0,220.0,40.0,40.0,60.0,38.0,     ,23.0,0.0,0.0,0.0,0.0,10017.0,70.0,8.0,89.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,462.739
123,  240,2018-01-06,4.0,250.0,40.0,30.0,60.0,41.0,     ,24.0,0.0,0.0,0.0,0.0,10020.0,64.0,8.0,88.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,614.345
124,  240,2018-01-06,5.0,180.0,30.0,40.0,50.0,31.0,     ,24.0,0.0,0.0,0.0,0.0,10028.0,64.0,8.0,94.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,742.929
125,  240,2018-01-06,6.0,190.0,30.0,20.0,50.0,32.0,   11,26.0,0.0,0.0,0.0,0.0,10034.0,61.0,8.0,96.0,     ,5.0,0.0,0.0,0.0,0.0,0.0,588.043
126,  240,2018-01-06,7.0,160.0,20.0,20.0,30.0,27.0,     ,21.0,0.0,0.0,0.0,0.0,10041.0,58.0,8.0,95.0,   10,7.0,0.0,0.0,0.0,0.0,0.0,295.872
127,  240,2018-01-06,8.0,160.0,20.0,20.0,30.0,21.0,     ,19.0,0.0,0.0,0.0,0.0,10052.0,50.0,8.0,98.0,   10,7.0,0.0,0.0,0.0,0.0,0.0,379.663
128,  240,2018-01-06,9.0,140.0,20.0,10.0,30.0,37.0,     ,34.0,0.0,8.0,0.0,0.0,10064.0,50.0,8.0,97.0,   10,7.0,0.0,0.0,0.0,0.0,0.0,399.513
